agency,year,state,population,ORI,anti_hispanic_violent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_violent,anti_asian_violent,anti_catholic_violent,anti_male_homosexual_gay_violent,anti_jewish_violent,anti_american_indian_or_native_alaskan_violent,anti_multi_religious_group_violent,anti_black_violent,anti_female_homosexual_lesbian_violent,anti_transgender_violent,anti_female_violent,anti_white_violent,anti_bisexual_violent,anti_ethnicity_other_than_hispanic_violent,anti_sikh_violent,anti_eastern_orthodox_greek_russian_etc_violent,anti_other_christian_violent,anti_buddhist_violent,anti_gender_non_conforming_violent,anti_mental_disability_violent,anti_male_violent,anti_other_religion_violent,anti_protestant_violent,anti_multi_racial_group_violent,anti_native_hawaiian_or_other_pacific_islander_violent,anti_physical_disability_violent,anti_hindu_violent,anti_muslim_violent,anti_atheism_agnosticism_violent,anti_mormon_violent,anti_heterosexual_violent,anti_arab_violent,anti_jehovahs_witness_violent,99_violent,anti_total_violent,anti_hispanic_nonviolent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_nonviolent,anti_asian_nonviolent,anti_catholic_nonviolent,anti_male_homosexual_gay_nonviolent,anti_jewish_nonviolent,anti_american_indian_or_native_alaskan_nonviolent,anti_multi_religious_group_nonviolent,anti_black_nonviolent,anti_female_homosexual_lesbian_nonviolent,anti_transgender_nonviolent,anti_female_nonviolent,anti_white_nonviolent,anti_bisexual_nonviolent,anti_ethnicity_other_than_hispanic_nonviolent,anti_sikh_nonviolent,anti_eastern_orthodox_greek_russian_etc_nonviolent,anti_other_christian_nonviolent,anti_buddhist_nonviolent,anti_gender_non_conforming_nonviolent,anti_mental_disability_nonviolent,anti_male_nonviolent,anti_other_religion_nonviolent,anti_protestant_nonviolent,anti_multi_racial_group_nonviolent,anti_native_hawaiian_or_other_pacific_islander_nonviolent,anti_physical_disability_nonviolent,anti_hindu_nonviolent,anti_muslim_nonviolent,anti_atheism_agnosticism_nonviolent,anti_mormon_nonviolent,anti_heterosexual_nonviolent,anti_arab_nonviolent,anti_jehovahs_witness_nonviolent,99_nonviolent,anti_total_nonviolent,anti_hispanic_total,anti_hispanic_720_total,anti_hispanic_61a_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_720_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_61a_total,anti_asian_total,anti_asian_720_total,anti_asian_61a_total,anti_catholic_total,anti_catholic_720_total,anti_catholic_61a_total,anti_male_homosexual_gay_total,anti_male_homosexual_gay_720_total,anti_male_homosexual_gay_61a_total,anti_jewish_total,anti_jewish_720_total,anti_jewish_61a_total,anti_american_indian_or_native_alaskan_total,anti_american_indian_or_native_alaskan_720_total,anti_american_indian_or_native_alaskan_61a_total,anti_multi_religious_group_total,anti_multi_religious_group_720_total,anti_multi_religious_group_61a_total,anti_black_total,anti_black_720_total,anti_black_61a_total,anti_female_homosexual_lesbian_total,anti_female_homosexual_lesbian_720_total,anti_female_homosexual_lesbian_61a_total,anti_transgender_total,anti_transgender_720_total,anti_transgender_61a_total,anti_female_total,anti_female_720_total,anti_female_61a_total,anti_white_total,anti_white_720_total,anti_white_61a_total,anti_bisexual_total,anti_bisexual_720_total,anti_bisexual_61a_total,anti_ethnicity_other_than_hispanic_total,anti_ethnicity_other_than_hispanic_720_total,anti_ethnicity_other_than_hispanic_61a_total,anti_sikh_total,anti_sikh_720_total,anti_sikh_61a_total,anti_eastern_orthodox_greek_russian_etc_total,anti_eastern_orthodox_greek_russian_etc_720_total,anti_eastern_orthodox_greek_russian_etc_61a_total,anti_other_christian_total,anti_other_christian_720_total,anti_other_christian_61a_total,anti_buddhist_total,anti_buddhist_720_total,anti_buddhist_61a_total,anti_gender_non_conforming_total,anti_gender_non_conforming_720_total,anti_gender_non_conforming_61a_total,anti_mental_disability_total,anti_mental_disability_720_total,anti_mental_disability_61a_total,anti_male_total,anti_male_720_total,anti_male_61a_total,anti_other_religion_total,anti_other_religion_720_total,anti_other_religion_61a_total,anti_protestant_total,anti_protestant_720_total,anti_protestant_61a_total,anti_multi_racial_group_total,anti_multi_racial_group_720_total,anti_multi_racial_group_61a_total,anti_native_hawaiian_or_other_pacific_islander_total,anti_native_hawaiian_or_other_pacific_islander_720_total,anti_native_hawaiian_or_other_pacific_islander_61a_total,anti_physical_disability_total,anti_physical_disability_720_total,anti_physical_disability_61a_total,anti_hindu_total,anti_hindu_720_total,anti_hindu_61a_total,anti_muslim_total,anti_muslim_720_total,anti_muslim_61a_total,anti_atheism_agnosticism_total,anti_atheism_agnosticism_720_total,anti_atheism_agnosticism_61a_total,anti_mormon_total,anti_mormon_720_total,anti_mormon_61a_total,anti_heterosexual_total,anti_heterosexual_720_total,anti_heterosexual_61a_total,anti_arab_total,anti_arab_720_total,anti_arab_61a_total,anti_jehovahs_witness_total,anti_jehovahs_witness_720_total,anti_jehovahs_witness_61a_total,anti_total_total
Bloomington Police,2011,Indiana,80816,IN0530100,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bloomington Police,2010,Indiana,72286,IN0530100,1,0,0,0,4,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Bloomington Police,2009,Indiana,72286,IN0530100,0,0,3,0,5,1,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Bloomington Police,2008,Indiana,72337,IN0530100,0,0,2,0,4,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Bloomington Police,2007,Indiana,68918,IN0530100,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Bloomington Police,2006,Indiana,69474,IN0530100,1,1,0,0,1,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Bloomington Police,2005,Indiana,69158,IN0530100,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Bloomington Police,2004,Indiana,71120,IN0530100,0,0,1,0,6,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Bloomington Police,2003,Indiana,70403,IN0530100,2,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Bloomington Police,2002,Indiana,70186,IN0530100,0,0,2,0,4,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Bloomington Police,2001,Indiana,69681,IN0530100,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bloomington Police,2000,Indiana,68288,IN0530100,3,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Bloomington Police,1999,Indiana,65547,IN0530100,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Bloomington Police,1998,Indiana,67300,IN0530100,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
