agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Argyle Police Department,2007,Texas,3291,TX06101,37,15,2,0,0,0,0,0,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,2006,Texas,3053,TX06101,40,16,6,0,0,0,0,0,11,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,0,0,0,0,0,7,3,0,0,0,0,0,0,1,1,0,0,6,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,2005,Texas,2869,TX06101,56,17,5,0,2,2,2,0,6,5,3,0,0,0,0,0,2,2,2,0,0,0,0,0,4,3,1,0,0,0,0,0,12,1,0,0,1,0,0,0,1,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argyle Police Department,2004,Texas,2726,TX06101,63,16,4,0,1,1,0,0,11,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,10,7,2,0,0,0,0,0,15,1,0,0,1,0,0,0,10,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,33,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,2003,Texas,2636,TX06101,35,21,4,0,5,4,1,0,14,13,2,0,2,2,0,0,2,1,1,0,1,1,0,0,9,9,1,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,0,5,1,1,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,2,1,0,5,3,0,0,0,0,0,0
Argyle Police Department,2002,Texas,2470,TX06101,34,16,4,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,7,1,1,0,0,0,0,0,4,0,0,0,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,2,0,0,0,0,0,1,0,0,0,1,1,0,0
Argyle Police Department,2001,Texas,2419,TX06101,31,11,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,2,2,1,0,1,1,0,0,0,0,0,0
Argyle Police Department,2e3,Texas,2365,TX06101,37,19,7,0,2,2,0,0,11,10,3,0,0,0,0,0,1,1,0,0,1,1,0,0,9,8,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,1999,Texas,2356,TX06101,51,15,3,0,1,1,0,0,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,2,0,2,2,0,0,1,0,0,0,1,1,0,0
Argyle Police Department,1998,Texas,2312,TX06101,70,29,9,0,3,3,2,0,15,14,6,0,0,0,0,0,2,2,2,0,0,0,0,0,12,11,4,0,1,1,0,0,11,2,1,0,2,0,0,0,4,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,1997,Texas,1786,TX06101,39,12,3,3,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,9,2,2,1,0,0,0,0,3,0,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Argyle Police Department,1996,Texas,1758,TX06101,46,14,0,4,1,1,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,8,1,0,1,1,0,0,1,5,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,3,2,1,0,0,1,0,0,0,0,0,0,0
Argyle Police Department,1995,Texas,1721,TX06101,25,5,3,3,1,1,0,0,7,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,6,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
