agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Dept of Parks & Rec San Diego Coast Carlsbad,2007,California,0,CA03725,0,0,0,0,0,1,1,0,1,0,0,0,1,6,1,0,0,0,5,2,2,0,0,84,9,5,4,0,103,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,2006,California,0,CA03725,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,2,0,2,0,52,6,4,1,1,67,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,5,1,0,1,0,2,1,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,2005,California,0,CA03725,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,2,3,7,2,4,1,90,5,2,3,0,109,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,0,1,0,1,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dept of Parks & Rec San Diego Coast Carlsbad,2004,California,0,CA03725,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,3,8,5,3,0,63,5,3,2,0,82,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
Dept of Parks & Rec San Diego Coast Carlsbad,2003,California,0,CA03725,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,1,1,33,14,19,0,55,4,3,0,1,101,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,2002,California,0,CA03725,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28,13,5,10,52,9,4,4,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,2001,California,0,CA03725,0,0,0,0,0,1,1,0,2,2,0,0,0,2,0,0,0,2,0,6,3,3,0,53,2,0,2,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,2000,California,0,CA03725,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,4,1,0,39,1,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1999,California,0,CA03725,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,5,4,1,0,58,1,0,1,0,68,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1998,California,0,CA03725,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,2,5,4,4,0,0,66,9,7,2,0,88,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1997,California,0,CA03725,0,0,3,0,0,0,0,0,1,0,0,0,1,14,0,0,0,2,12,8,7,1,0,114,4,4,0,0,141,2,0,0,0,0,0,1,0,0,0,1,7,0,0,0,2,5,0,0,0,0,3,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Dept of Parks & Rec San Diego Coast Carlsbad,1996,California,0,CA03725,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,1,2,10,7,4,0,3,102,2,2,0,0,124,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,6,0,0,0,0,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Dept of Parks & Rec San Diego Coast Carlsbad,1995,California,0,CA03725,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,17,13,3,1,99,3,1,2,0,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1994,California,0,CA03725,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,5,4,2,1,1,221,13,12,1,0,245,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1993,California,0,CA03725,0,0,0,0,0,2,0,2,1,0,0,0,1,11,1,1,0,4,5,7,4,2,1,146,8,5,2,1,175,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,0,1,0,3,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1992,California,0,CA03725,0,0,2,0,0,0,0,0,1,0,0,0,1,5,0,0,1,1,3,3,3,0,0,270,5,2,3,0,284,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,0,0,0,0,4,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dept of Parks & Rec San Diego Coast Carlsbad,1991,California,0,CA03725,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,2,6,6,5,1,0,141,2,1,1,0,159,4,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,2,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1990,California,0,CA03725,0,0,2,0,0,1,0,1,0,0,0,0,0,11,0,1,1,2,7,3,0,3,0,146,2,1,1,0,163,4,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,6,1,0,1,0,3,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1989,California,0,CA03725,0,0,2,0,0,0,0,0,0,0,0,0,0,20,1,2,2,1,14,1,0,1,0,141,5,3,2,0,167,6,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,5,0,0,0,0,1,1,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Dept of Parks & Rec San Diego Coast Carlsbad,1988,California,0,CA03725,0,0,1,0,0,0,0,0,1,0,1,0,0,20,0,0,1,1,18,1,1,0,0,180,2,2,0,0,204,2,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,10,0,0,0,0,4,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1987,California,0,CA03725,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,1,3,2,10,4,3,1,0,186,3,2,1,0,209,6,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,4,0,0,0,0,4,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept of Parks & Rec San Diego Coast Carlsbad,1986,California,0,CA03725,0,0,0,0,0,0,0,0,2,1,0,0,1,17,0,0,1,2,14,0,0,0,0,181,1,0,1,0,201,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,7,0,0,0,0,6,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
