agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Wilmington Police Department,2017-02-01,Massachusetts,23791,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,6,0,0,0,0,10,1,1,0,0,19,2,2,11,13,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,0,0,0,0,3,1,1,0,0,8,2,2,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2017-01-01,Massachusetts,23791,MA00952,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,1,0,2,4,3,1,0,12,1,1,0,0,23,1,4,17,21,0,0,0,0,0,3,1,0,0,2,3,0,0,1,0,2,3,2,1,0,6,0,0,0,0,15,1,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-12-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,2,1,0,1,0,7,0,0,3,0,4,1,1,0,0,5,0,0,0,0,15,3,5,6,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-11-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,7,4,2,1,8,2,2,0,0,23,2,2,17,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2,0,1,1,4,0,0,0,0,10,2,2,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-10-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,2,0,8,0,0,0,0,13,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,1,0,1,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-09-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,3,3,0,0,24,2,1,1,0,34,1,1,29,30,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,3,1,1,0,0,4,1,0,1,0,11,2,2,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-08-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,1,0,0,0,1,14,2,1,4,2,5,2,0,1,1,7,0,0,0,0,24,9,10,9,19,0,0,0,0,0,0,0,0,0,0,7,2,0,3,1,1,1,0,0,1,0,0,0,0,0,8,6,6,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-07-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,4,0,0,0,0,12,1,1,0,0,20,3,3,13,16,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,1,1,1,0,0,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-06-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,5,1,1,0,0,16,0,0,0,0,24,2,2,17,19,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,3,0,0,0,0,8,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-05-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,9,0,0,0,0,10,2,1,0,1,25,4,4,12,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,3,1,1,0,0,9,2,2,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-04-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,2,0,0,2,0,8,0,0,1,2,5,2,0,1,1,12,1,1,0,0,25,3,5,15,20,0,0,0,0,0,1,0,0,1,0,3,0,0,1,2,0,1,0,0,1,0,0,0,0,0,5,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-03-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,4,1,6,4,2,2,0,18,3,2,0,1,38,7,7,25,32,0,0,0,0,0,0,0,0,0,0,12,0,2,3,1,6,0,0,0,0,6,1,1,0,0,19,6,6,7,13,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,1,0,0,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-02-01,Massachusetts,23667,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1,12,2,1,1,0,6,1,1,0,0,23,2,2,9,11,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,6,0,0,0,0,2,0,0,0,0,10,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2016-01-01,Massachusetts,23667,MA00952,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,1,1,12,2,0,1,1,10,1,1,0,0,28,2,3,13,16,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,0,0,0,0,12,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-12-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,1,0,1,8,1,1,0,0,17,0,0,11,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,1,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-11-01,Massachusetts,23634,MA00952,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,1,2,3,4,2,1,1,12,3,3,0,0,26,3,4,19,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,5,0,0,0,0,10,2,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-10-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,1,0,11,0,0,0,0,15,1,1,13,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,0,0,0,0,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-09-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,4,4,3,0,1,15,1,1,0,0,27,3,3,20,23,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,0,2,0,0,0,0,6,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-08-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,1,7,2,0,0,2,10,0,0,0,0,22,3,3,12,15,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,5,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-07-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,5,6,6,0,0,16,3,3,0,0,33,3,3,25,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,2,2,0,0,0,1,1,0,0,8,2,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-06-01,Massachusetts,23634,MA00952,0,0,0,0,0,3,3,0,1,0,0,0,1,20,0,3,1,1,15,1,0,1,0,13,0,0,0,0,38,5,9,14,23,0,0,3,3,0,1,0,0,0,1,11,0,3,1,0,7,0,0,0,0,1,0,0,0,0,16,4,8,1,9,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-05-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,11,1,0,1,0,16,1,0,0,1,31,2,2,18,20,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,0,1,0,0,0,0,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-04-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,6,2,2,0,0,7,0,0,0,0,17,2,2,9,11,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-03-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,6,1,0,1,0,10,2,2,0,0,20,0,1,13,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-02-01,Massachusetts,23634,MA00952,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,4,1,1,0,0,4,0,0,0,0,11,1,2,5,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2015-01-01,Massachusetts,23634,MA00952,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,6,0,0,5,5,3,2,0,18,0,0,0,0,36,7,8,23,31,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,1,1,0,1,0,2,0,0,0,0,10,6,6,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2014-12-01,Massachusetts,23410,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,2,0,1,1,24,2,2,0,0,33,0,0,28,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2014-11-01,Massachusetts,23410,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,11,2,1,0,1,15,0,0,0,0,31,3,3,17,20,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,6,0,0,0,0,0,0,0,0,0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington Police Department,2014-10-01,Massachusetts,23410,MA00952,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,3,3,2,1,0,20,0,0,0,0,29,3,3,23,26,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,1,1,0,0,3,0,0,0,0,7,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
